Sample,Time_us,Raw_u16,Voltage_V
0,208,32968,1.660096
1,1017,42858,2.158105
2,2015,51852,2.610996
3,3011,53581,2.698059
4,4008,47691,2.401470
5,5012,36232,1.824454
6,6008,23557,1.186207
7,7012,14659,0.738151
8,8009,12851,0.647109
9,9014,18836,0.948482
10,10014,30247,1.523081
11,11011,42858,2.158105
12,12015,51644,2.600522
13,13011,53581,2.698059
14,14015,47643,2.399052
15,15011,36184,1.822037
16,16008,23637,1.190236
17,17015,14419,0.726065
18,18013,12803,0.644692
19,19010,18724,0.942843
20,20014,30247,1.523081
21,21010,42810,2.155688
22,22014,51692,2.602939
23,23010,53565,2.697253
24,24014,47579,2.395830
25,25014,36072,1.816397
26,26011,23525,1.184596
27,27008,14659,0.738151
28,28012,12835,0.646303
29,29008,18756,0.944454
30,30012,30295,1.525498
31,31009,42794,2.154882
32,32013,51708,2.603744
33,33014,53677,2.702893
34,34012,47643,2.399052
35,35009,36200,1.822843
36,36013,23509,1.183790
37,37009,14659,0.738151
38,38013,13011,0.655166
39,39010,18772,0.945260
40,40014,30247,1.523081
41,41014,42890,2.159716
42,42012,51756,2.606162
43,43008,53549,2.696448
44,44012,47691,2.401470
45,45008,36184,1.822037
46,46012,23573,1.187013
47,47009,14563,0.733317
48,48013,12899,0.649526
49,49014,18964,0.954928
50,50013,30263,1.523886
51,51009,42762,2.153271
52,52013,51788,2.607773
53,53010,53629,2.700476
54,54014,47611,2.397441
55,55010,36232,1.824454
56,56014,23509,1.183790
57,57008,14659,0.738151
58,58013,12755,0.642275
59,59010,18756,0.944454
60,60013,30119,1.516635
61,61010,42842,2.157299
62,62014,51804,2.608578
63,63010,53533,2.695642
64,64014,47595,2.396635
65,65008,36184,1.822037
66,66015,23413,1.178956
67,67012,14691,0.739762
68,68008,12835,0.646303
69,69012,18804,0.946871
70,70009,30183,1.519858
71,71013,42874,2.158910
72,72009,51724,2.604550
73,73012,53517,2.694836
74,74010,47643,2.399052
75,75014,36168,1.821231
76,76011,23605,1.188624
77,77015,14643,0.737345
78,78011,12819,0.645498
79,79015,18740,0.943648
80,80011,30247,1.523081
81,81014,42874,2.158910
82,82012,51756,2.606162
83,83008,53597,2.698865
84,84012,47675,2.400664
85,85009,36232,1.824454
86,86013,23541,1.185402
87,87009,14659,0.738151
88,88013,12867,0.647915
89,89015,18708,0.942037
90,90012,30263,1.523886
91,91008,42826,2.156494
92,92012,51788,2.607773
93,93008,53501,2.694030
94,94012,47531,2.393412
95,95009,36200,1.822843
96,96013,23541,1.185402
97,97016,14755,0.742985
98,98013,12835,0.646303
99,99009,18660,0.939620
100,100013,30263,1.523886
101,101010,42794,2.154882
102,102014,51612,2.598910
103,103010,53453,2.691614
104,104014,47611,2.397441
105,105008,36232,1.824454
106,106013,23525,1.184596
107,107009,14659,0.738151
