Sample,Time_us,Raw_u16,Voltage_V
0,207,48715,2.453033
1,1014,38857,1.956635
2,2010,16612,0.836493
3,3014,53805,2.709338
4,4009,16131,0.812273
5,5010,40073,2.017867
6,6012,39001,1.963886
7,7014,16884,0.850190
8,8015,53837,2.710950
9,9014,16019,0.806633
10,10010,40009,2.014644
11,11011,39225,1.975166
12,12013,16788,0.845356
13,13014,53837,2.710950
14,14008,16195,0.815495
15,15010,40073,2.017867
16,16013,38969,1.962275
17,17010,16724,0.842133
18,18011,53853,2.711756
19,19014,16003,0.805827
20,20009,39945,2.011421
21,21010,39129,1.970332
22,22012,16932,0.852607
23,23013,53837,2.710950
24,24015,15987,0.805022
25,25014,40185,2.023506
26,26009,39145,1.971138
27,27011,16756,0.843745
28,28013,53853,2.711756
29,29014,16051,0.808244
30,30008,39945,2.011421
31,31010,39081,1.967915
32,32012,16772,0.844550
33,33009,53821,2.710144
34,34011,16051,0.808244
35,35012,40057,2.017061
36,36013,38953,1.961469
37,37014,16836,0.847773
38,38016,53853,2.711756
39,39010,16259,0.818718
40,40011,40009,2.014644
41,41011,39001,1.963886
42,42015,16900,0.850996
43,43009,53837,2.710950
44,44010,16147,0.813078
45,45012,40105,2.019478
46,46014,38905,1.959052
47,47015,16884,0.850190
48,48010,53725,2.705310
49,49015,16035,0.807439
50,50010,40025,2.015450
51,51011,38985,1.963081
52,52013,16804,0.846162
53,53014,53869,2.712561
54,54015,16003,0.805827
55,55009,39913,2.009810
56,56011,39113,1.969526
57,57010,16740,0.842939
58,58012,53725,2.705310
59,59013,16035,0.807439
60,60015,40249,2.026729
61,61009,39145,1.971138
62,62010,16740,0.842939
63,63012,53741,2.706116
64,64014,16019,0.806633
65,65015,40281,2.028340
66,66012,39145,1.971138
67,67013,16836,0.847773
68,68014,53853,2.711756
69,69008,16227,0.817107
70,70010,39913,2.009810
71,71011,39177,1.972749
72,72012,16820,0.846967
73,73012,53853,2.711756
74,74015,16035,0.807439
